Time,Code
1.061,code1
0.03,code1
2.061,code1
2.108,code1
0.687,code1
0.577,code1
0.047,code1
0.046,code1
1.563,code1
0.781,code1
0.969,code1
0.204,code1
2.531,code1
2.046,code1
2.297,code1
0.937,code1
19.577,code1
0.421,code1
0.546,code1
5.562,code1
2.484,code1
2.468,code1
0.734,code1
1.531,code1
0.062,code1
0.343,code1
0.03,code1
0.249,code1
0.297,code1
0.265,code1
0.312,code1
0.671,code1
0.234,code1
1.406,code1
2.515,code1
0.03,code1
1.797,code1
0.999,code1
0.249,code1
0.531,code1
0.202,code1
0.499,code1
0.079,code1
2.546,code1
0.031,code1
0.217,code1
0.186,code1
0.624,code1
0.5,code1
0.187,code1
0.64,code1
0.406,code1
0.077,code1
3.249,code1
3.765,code1
0.5,code1
1.936,code1
0.609,code1
0.203,code1
1.28,code1
2.281,code1
1.28,code1
2.391,code1
3.124,code1
6.312,code1
2.265,code1
0.672,code1
0.703,code1
2.391,code1
0.202,code1
0.343,code1
0.436,code1
0.156,code1
0.046,code1
0.046,code1
14.203,code1
0.578,code1
0.219,code1
1.578,code1
2.39,code1
11.25,code1
0.062,code1
0.436,code1
0.328,code1
0.077,code1
0.828,code1
43.655,code1
0.422,code1
0.03,code1
0.625,code1
2.437,code1
2.375,code1
0.015,code1
01.03,code1
7.499,code1
1.062,code1
0.155,code1
0.093,code1
0.14,code1
0.875,code1
11.874,code2
0.484,code2
0.124,code2
4.905,code2
9.234,code2
0.687,code2
2.718,code2
7.952,code2
1.28,code2
0.905,code2
1.797,code2
0.609,code2
0.108,code2
6.656,code2
0.015,code2
9.437,code2
12.984,code2
3.656,code2
0.454,code2
0.937,code2
0.796,code2
0.922,code2
3.874,code2
0,code2
1.327,code2
0.108,code2
0.077,code2
1.437,code2
0.311,code2
0.828,code2
0.108,code2
0.265,code2
0.327,code2
3.327,code2
0.296,code2
0.264,code2
1.484,code2
0.124,code2
0.046,code2
0.03,code2
0.625,code2
0.078,code2
0.297,code2
0.89,code2
0.328,code2
0.39,code2
0.39,code2
13.516,code2
0.264,code2
0.765,code2
4.265,code2
1.624,code2
3.046,code2
0.812,code2
1.906,code2
3.139,code2
0.593,code2
1.484,code2
0.421,code2
2.14,code2
0.858,code2
0.921,code2
0.061,code2
0.391,code2
7.874,code2
1.625,code2
0.124,code2
0.312,code2
0.593,code2
16.86,code2
0.531,code2
0.249,code2
0.14,code2
0.968,code2
5.015,code2
0.218,code2
1.468,code2
0.656,code2
0.577,code2
10.187,code2
0.484,code2
0.093,code2
0.031,code2
0.234,code2
3.374,code2
0.796,code2
1.328,code2
1.139,code2
0.625,code2
0,code2
6.937,code2
0.469,code2
1.796,code2
0.015,code2
0.171,code2
0.108,code2
0.812,code2
0.562,code2
0.031,code2
0.468,code2